recipe_id,recipe_name,url,ingredients_dict,preparation_time,cooking_time
10,Veg Pasta in Creamy Broccoli Sauce,https://www.youtube.com/watch?v=sG3b3ZBK570,"{'BROCCOLI': 200, 'ALMOND': 15, 'GARLIC': 5, 'PASTA': 200, 'SWEET CORN': 0.5, 'OIL': 2, 'MUSHROOM': 0.33, 'RED BELL PEPPER': 1, 'OREGANO': 1, 'SUGAR': 0, 'BLACK PEPPER POWDER': 0, 'LEMON JUICE': 0.5, 'NUTMEG': 0}",15.0,15.0
11,Soya Tikka,https://www.youtube.com/watch?v=jyn5VMzog9A,{'SOYA BADI': 0},45.0,17.0
12,Paneer Koliwada,https://www.youtube.com/watch?v=TsznbnLJIwU,"{'PANEER': '400-500 GRAMS', 'GREEN CHILLI': '4-5 NOS.', 'GINGER': '1 INCH', 'GARLIC': '3 CLOVES', 'WATER': 'AS REQUIRED', 'OIL': '2 TBSP', 'KASHMIRI RED CHILLI POWDER': '1.5 TBSP', 'SPICY RED CHILLI POWDER': '1 TSP', 'CUMIN POWDER': '1/2 TSP', 'CORIANDER POWDER': '1 TSP', 'CHAAT MASALA': 'A LARGE PINCH', 'DRY MANGO POWDER': '1 TSP', 'BLACK SALT': 'A LARGE PINCH', 'ASAFOETIDA': '1/4 TSP', 'BLACK PEPPER POWDER': 'A LARGE PINCH', 'CAROM SEEDS': '1/2 TSP', 'LEMON JUICE': 'OF A LEMON', 'SALT': 'TO TASTE', 'CURD': '2 TBSP', 'BAKING SODA': 'A LARGE PINCH', 'RED FOOD COLOUR': 'OPTIONAL', 'GRAM FLOUR': '1.5 TBSP', 'CORN FLOUR': '3-4 TBSP', 'MINT': '1 CUP', 'FRESH CORIANDER': '1/2 CUP', 'ONION': '1 SMALL', 'TOMATO': '1 SMALL', 'TAMARIND': '1 TSP', 'JAGGERY': '1 TSP', 'ICE CUBE': ''}",15.0,15.0
13,Sattu Ka Paratha,https://www.youtube.com/watch?v=hoDFK1rxUrA,"{'WHEAT FLOUR': 2, 'CAROM SEEDS': 0.5, 'KALONJI': 'A LARGE PINCH', 'SALT': 'TO TASTE', 'WATER': 'AS REQUIRED', 'OIL': 1, 'CHANA SATTU': 1, 'GARLIC': 1, 'GREEN CHILLI': 2, 'GINGER': 1, 'BLACK PEPPER POWDER': 'A LARGE PINCH', 'LEMON JUICE': 1, 'MANGO PICKLE MASALA': 2, 'MUSTARD OIL': 2, 'ONION': 1, 'FRESH CORIANDER': 'A HANDFUL', 'GHEE': 'AS REQUIRED'}",10.0,20.0
14,Mutton Tawa Bhuna Masala,https://www.youtube.com/watch?v=pqTVAvuoDnc,"{'MUTTON': 500, 'TOMATO': 1, 'CASHEW': 15, 'WATER': 0, 'OIL': 3, 'CUMINS SEEDS': 0, 'ONION': 5, 'GINGER GARLIC GREEN CHILLI PASTE': 4, 'FRESH CORIANDER STEMS': 0, 'TURMERIC POWDER': 0.25, 'KASHMIRI RED CHILLI POWDER': 1, 'SPICY RED CHILLI POWDER': 2, 'CORIANDER POWDER': 1, 'CUMIN POWDER': 1, 'GARAM MASALA': 0.5, 'HOT WATER': 0, 'CURD': 0.5, 'SALT': 0, 'GHEE': 1, 'GARLIC': 2, 'GREEN CHILLI': 2, 'GINGER': 0, 'ROASTED KASURI METHI POWDER': 0, 'BLACK PEPPER POWDER': 0, 'FRESH CORIANDER': 0}",20.0,90.0
15,Smoked Creamy Paneer Roll,https://www.youtube.com/watch?v=yvDWrPuUfsE,"{'PANEER': '250-300 GRAMS', 'BUTTER': '1 TBSP', 'OIL': '1 TSP', 'SALT': 'TO TASTE', 'BLACK PEPPER POWDER': 'A PINCH', 'SUGAR': '1 TSP', 'MUSTARD SEEDS': '1/4 TSP', 'MAYONNAISE': '3/4 CUP', 'CURD': '1/2 CUP', 'VINEGAR': '1/4 TSP', 'GARLIC': '4 CLOVES', 'SUGAR MUSTARD POWDER': '1 TSP', 'LIVE CHARCOAL': '0', 'GHEE': '0', 'ONION': '2 LARGE SIZED'}",15.0,25.0
16,Sattu ka Sharbat,https://www.youtube.com/watch?v=l8y97x4J-Go,"{'SATTU': 1, 'SALT': 0, 'BLACK SALT': 1, 'CUMIN POWDER': 1, 'ONION': 1, 'GREEN CHILLI': 2, 'FRESH CORIANDER': 0, 'LEMON JUICE': 1, 'WATER': 0}",0.0,0.0
17,Chicken Satay,https://www.youtube.com/watch?v=oeNMd2rLDvE,"{'CHICKEN': '500g', 'KASHMIRI RED CHILLI': '2', 'SPICY RED CHILLI': '6', 'LEMONGRASS': '2', 'GALANGAL': '2', 'SHALLOTS': '6-7', 'GARLIC': '3', 'WATER': '0', 'SALT': '0', 'CORIANDER POWDER': '1', 'TURMERIC POWDER': '0.5', 'CUMIN POWDER': '0.25', 'WHITE PEPPER POWDER': '0.25', 'LIGHT BROWN SUGAR': '1', 'LIGHT SOY SAUCE': '0.5', 'RED PASTE': '1', 'COCONUT MILK': '4', 'OIL': '1-2', 'PEANUT': '0.5', 'TAMARIND PULP': '2'}",15.0,40.0
18,Cheeseburst Garlic Bread,https://www.youtube.com/watch?v=5MvJJeHGIfM,"{'BUTTER': 200, 'GARLIC': 35, 'FRESH CORIANDER': 2, 'GREEN CHILLI': 2, 'OILIVE OIL': 0, 'GARLIC CONFIT': 5, 'PROCESSED CHEESE': 150, 'MILK': 120, 'BREAD LOAF': 0, 'MOZZARELLA CHEESE': 0, 'OREGANO': 0, 'RED CHILLI FLAKES': 0, 'WATER': 0}",10.0,30.0
19,Chicken Butter Masala,https://www.youtube.com/watch?v=lyBGqv7IWaQ,"{'CHICKEN': '400-500 GRAMS', 'SALT': 'TO TASTE', 'LEMON JUICE': 'OF 1/2 A LEMON', 'GINGER GARLIC GREEN CHILLI PASTE': '1 TBSP', 'CURD': '2 TBSP', 'TURMERIC POWDER': '1/4 TSP', 'KASHMIRI RED CHILLI POWDER': '2 TSP', 'GARAM MASALA': 'A PINCH', 'OIL': '1 TSP', 'TOMATO': '4 NOS.', 'GARLIC': '10-12 CLOVES', 'GINGER': '2 INCH', 'GREEN CHILLI': '1 NO.', 'CORIANDER STEMS': 'A HANDFUL', 'CASHEW': '10 NOS.', 'CORIANDER POWDER': '1 TSP', 'CUMIN POWDER': '1/2 TSP', 'ONION': '3 NOS.', 'BUTTER': '2-3 TBSP', 'CUMIN SEEDS': '1/2 TSP', 'CINNAMON': '1 SMALL PIECE.', 'GREEN CARDAMOM': '2 NOS.', 'HOT WATER': 'A SPLASH', 'SUGAR': 'A PINCH', 'FRESH CREAM': '2 TBSP', 'ROASTED KASURI METHI POWDER': 'A LARGE PINCH', 'FRESH CORIANDER': 'A HANDFUL'}",15.0,40.0
